epoch,loss,lr,mae,r2,val_loss,val_mae,val_r2
0,0.8626251816749573,4.940648e-05,0.8626251816749573,0.642937421798706,0.7857553958892822,0.7857553958892822,0.6831778883934021
1,0.8598708510398865,1.0230234e-05,0.8598708510398865,0.6455247402191162,0.773047924041748,0.773047924041748,0.6920499801635742
2,0.8530805110931396,4.9089263e-05,0.8530805110931396,0.650929868221283,0.7810274362564087,0.7810274362564087,0.6869938373565674
3,0.853638231754303,1.0547451e-05,0.853638231754303,0.6512404680252075,0.7712650895118713,0.7712650895118713,0.6920456886291504
4,0.8455862998962402,4.8772046e-05,0.8455862998962402,0.6570589542388916,0.7776805758476257,0.7776805758476257,0.6894120573997498
5,0.8459779024124146,1.0864667e-05,0.8459779024124146,0.65730220079422,0.7642629146575928,0.7642629146575928,0.6975403428077698
6,0.8364003896713257,4.845483e-05,0.8364003896713257,0.6643847823143005,0.7851842045783997,0.7851842045783997,0.6824924349784851
7,0.8387582302093506,1.1181884e-05,0.8387582302093506,0.6628921627998352,0.7625407576560974,0.7625407576560974,0.6993856430053711
8,0.8296340703964233,4.8137616e-05,0.8296340703964233,0.6689097881317139,0.7779990434646606,0.7779990434646606,0.6872648596763611
9,0.8326005339622498,1.1499101e-05,0.8326005339622498,0.6673823595046997,0.7605289816856384,0.7605289816856384,0.7012919783592224
10,0.8222367763519287,4.78204e-05,0.8222367763519287,0.6751187443733215,0.7722805142402649,0.7722805142402649,0.691195011138916
11,0.8239375948905945,1.1816317e-05,0.8239375948905945,0.6751770973205566,0.7555842995643616,0.7555842995643616,0.7040728330612183
12,0.8140372633934021,4.750318e-05,0.8140372633934021,0.6814777255058289,0.7674964666366577,0.7674964666366577,0.6967107653617859
13,0.819637656211853,1.2133533e-05,0.819637656211853,0.6787917017936707,0.7553005218505859,0.7553005218505859,0.7037878036499023
14,0.8088538646697998,4.7185964e-05,0.8088538646697998,0.6860504150390625,0.7683297395706177,0.7683297395706177,0.694265604019165
15,0.811418354511261,1.2450751e-05,0.811418354511261,0.684048593044281,0.7522087097167969,0.7522087097167969,0.7070335745811462
16,0.802636444568634,4.6868747e-05,0.802636444568634,0.6909590363502502,0.7635393142700195,0.7635393142700195,0.6990461349487305
17,0.8050081133842468,1.2767967e-05,0.8050081133842468,0.6893530488014221,0.7552086114883423,0.7552086114883423,0.7038718461990356
18,0.7949612140655518,4.655153e-05,0.7949612140655518,0.6964805722236633,0.7562033534049988,0.7562033534049988,0.7037630677223206
19,0.7983218431472778,1.3085183e-05,0.7983218431472778,0.6943106055259705,0.7478017807006836,0.7478017807006836,0.7096441388130188
20,0.7876588702201843,4.6234316e-05,0.7876588702201843,0.7019319534301758,0.7536465525627136,0.7536465525627136,0.7063412666320801
21,0.7932732701301575,1.34024e-05,0.7932732701301575,0.6979705095291138,0.7470858693122864,0.7470858693122864,0.7095167636871338
22,0.7821455001831055,4.59171e-05,0.7821455001831055,0.7069758772850037,0.7576541900634766,0.7576541900634766,0.7036281824111938
23,0.7869224548339844,1.3719617e-05,0.7869224548339844,0.7032897472381592,0.7440744638442993,0.7440744638442993,0.7119089961051941
24,0.7761496305465698,4.559988e-05,0.7761496305465698,0.7107599973678589,0.7537274956703186,0.7537274956703186,0.7066491842269897
25,0.7811185717582703,1.4036833e-05,0.7811185717582703,0.7077902555465698,0.7439160943031311,0.7439160943031311,0.7129103541374207
26,0.7699618935585022,4.5282664e-05,0.7699618935585022,0.7156233191490173,0.7524282932281494,0.7524282932281494,0.7075397372245789
27,0.7748399376869202,1.4354049e-05,0.7748399376869202,0.7125492691993713,0.7402730584144592,0.7402730584144592,0.7157015204429626
28,0.7640367150306702,4.4965447e-05,0.7640367150306702,0.7198938131332397,0.7535764575004578,0.7535764575004578,0.7049112915992737
29,0.7691037058830261,1.4671266e-05,0.7691037058830261,0.7159411907196045,0.7403033375740051,0.7403033375740051,0.7151721119880676
30,0.7578879594802856,4.464823e-05,0.7578879594802856,0.7246555089950562,0.7477496266365051,0.7477496266365051,0.71044921875
31,0.7642866969108582,1.4988483e-05,0.7642866969108582,0.7198507189750671,0.736762285232544,0.736762285232544,0.717355489730835
32,0.7524441480636597,4.4331016e-05,0.7524441480636597,0.7286607027053833,0.7478430867195129,0.7478430867195129,0.7099124193191528
