epoch,loss,lr,mae,r2,val_loss,val_mae,val_r2
0,0.569401204586029,3.669799e-05,0.569401204586029,0.5795193314552307,0.5787710547447205,0.5787710547447205,0.5480976700782776
1,0.5778118968009949,3.5647212e-05,0.5778118968009949,0.567159116268158,0.5713074207305908,0.5713074207305908,0.5558820366859436
2,0.5675813555717468,1.0963798e-05,0.5675813555717468,0.5816754102706909,0.5689709782600403,0.5689709782600403,0.5577539801597595
3,0.5653209090232849,3.774877e-05,0.5653209090232849,0.5861331820487976,0.5761203765869141,0.5761203765869141,0.5455297827720642
4,0.5715124607086182,3.4596433e-05,0.5715124607086182,0.576980710029602,0.5764369368553162,0.5764369368553162,0.5493526458740234
5,0.5629454255104065,1.2014578e-05,0.5629454255104065,0.5891366600990295,0.5679962635040283,0.5679962635040283,0.5588480234146118
6,0.5595520734786987,3.879955e-05,0.5595520734786987,0.592790424823761,0.5731348991394043,0.5731348991394043,0.5548372268676758
7,0.5673010945320129,3.3545653e-05,0.5673010945320129,0.5807501673698425,0.5840089917182922,0.5840089917182922,0.5433711409568787
8,0.5584747195243835,1.3065357e-05,0.5584747195243835,0.5941098928451538,0.5685558319091797,0.5685558319091797,0.5599954724311829
9,0.5552477836608887,3.9850333e-05,0.5552477836608887,0.599307656288147,0.576960027217865,0.576960027217865,0.54459547996521
10,0.56242436170578,3.249487e-05,0.56242436170578,0.589825451374054,0.5709514617919922,0.5709514617919922,0.5576201677322388
11,0.550584614276886,1.4116137e-05,0.550584614276886,0.6051503419876099,0.5660957098007202,0.5660957098007202,0.562978982925415
12,0.55056232213974,4.090111e-05,0.55056232213974,0.605937123298645,0.5727852582931519,0.5727852582931519,0.5544936060905457
13,0.5570200085639954,3.144409e-05,0.5570200085639954,0.5975341796875,0.567572832107544,0.567572832107544,0.5608970522880554
14,0.5457044243812561,1.5166917e-05,0.5457044243812561,0.612846314907074,0.5653049945831299,0.5653049945831299,0.5635524392127991
15,0.5463718175888062,4.195189e-05,0.5463718175888062,0.6112220883369446,0.5694230794906616,0.5694230794906616,0.5591988563537598
16,0.5517016649246216,3.0393312e-05,0.5517016649246216,0.6059260964393616,0.5722213387489319,0.5722213387489319,0.5565515160560608
17,0.5409945845603943,1.6217697e-05,0.5409945845603943,0.6193675994873047,0.5677140355110168,0.5677140355110168,0.5622546672821045
18,0.5400944352149963,4.300267e-05,0.5400944352149963,0.6205967664718628,0.5752686262130737,0.5752686262130737,0.5530247688293457
19,0.5465984344482422,2.9342533e-05,0.5465984344482422,0.6112908124923706,0.5686842203140259,0.5686842203140259,0.5613720417022705
20,0.534913182258606,1.7268478e-05,0.534913182258606,0.6281878352165222,0.5661964416503906,0.5661964416503906,0.5634976029396057
21,0.5369787216186523,4.405345e-05,0.5369787216186523,0.6254569888114929,0.5780566334724426,0.5780566334724426,0.5430800914764404
22,0.5417440533638,2.8291752e-05,0.5417440533638,0.6195851564407349,0.5678585767745972,0.5678585767745972,0.5607197880744934
23,0.5302532315254211,1.8319257e-05,0.5302532315254211,0.6341878175735474,0.5644446015357971,0.5644446015357971,0.5644952058792114
24,0.5321948528289795,4.510423e-05,0.5321948528289795,0.631985068321228,0.5763043165206909,0.5763043165206909,0.5456854701042175
25,0.5364857912063599,2.7240972e-05,0.5364857912063599,0.6268306970596313,0.574250340461731,0.574250340461731,0.5493889451026917
26,0.5251460671424866,1.9370036e-05,0.5251460671424866,0.6410856246948242,0.5660870671272278,0.5660870671272278,0.5620827078819275
27,0.5289633274078369,4.615501e-05,0.5289633274078369,0.6364044547080994,0.5721215605735779,0.5721215605735779,0.5543397665023804
28,0.5324475169181824,2.6190193e-05,0.5324475169181824,0.6329683661460876,0.5686502456665039,0.5686502456665039,0.5621344447135925
29,0.5195693373680115,2.0420817e-05,0.5195693373680115,0.6485471725463867,0.568278968334198,0.568278968334198,0.5610580444335938
30,0.5246778130531311,4.720579e-05,0.5246778130531311,0.6431522965431213,0.5736494660377502,0.5736494660377502,0.5523834824562073
31,0.5276308059692383,2.5139412e-05,0.5276308059692383,0.6383459568023682,0.5652524828910828,0.5652524828910828,0.5643385052680969
32,0.5151126384735107,2.1471596e-05,0.5151126384735107,0.6539965271949768,0.5652108192443848,0.5652108192443848,0.5635998249053955
33,0.5192119479179382,4.825657e-05,0.5192119479179382,0.6495247483253479,0.5722055435180664,0.5722055435180664,0.5559419393539429
34,0.5215150713920593,2.4088633e-05,0.5215150713920593,0.6473280787467957,0.568259596824646,0.568259596824646,0.5610429644584656
35,0.510479748249054,2.2522376e-05,0.510479748249054,0.661314845085144,0.5637409687042236,0.5637409687042236,0.5662700533866882
36,0.5151883363723755,4.930735e-05,0.5151883363723755,0.6553626656532288,0.5824692249298096,0.5824692249298096,0.5443027019500732
37,0.5169113874435425,2.3037854e-05,0.5169113874435425,0.6527587175369263,0.5674847960472107,0.5674847960472107,0.560239851474762
38,0.5046601295471191,2.3573157e-05,0.5046601295471191,0.6685379147529602,0.5713740587234497,0.5713740587234497,0.5583698153495789
39,0.5110164880752563,4.8772046e-05,0.5110164880752563,0.6599689722061157,0.56879723072052,0.56879723072052,0.5589054226875305
40,0.5124426484107971,2.1987073e-05,0.5124426484107971,0.6596735119819641,0.5672874450683594,0.5672874450683594,0.5641382932662964
