epoch,loss,lr,mae,r2,val_loss,val_mae,val_r2
0,0.7050925493240356,3.669799e-05,0.7050925493240356,0.36073848605155945,0.6146621704101562,0.6146621704101562,0.49708619713783264
1,0.7068459391593933,3.5647212e-05,0.7068459391593933,0.3569382429122925,0.6155356168746948,0.6155356168746948,0.4893955886363983
2,0.7012683749198914,1.0963798e-05,0.7012683749198914,0.36792075634002686,0.6040062308311462,0.6040062308311462,0.5099713206291199
3,0.6966630816459656,3.774877e-05,0.6966630816459656,0.375224232673645,0.6620200276374817,0.6620200276374817,0.40021711587905884
4,0.701403796672821,3.4596433e-05,0.701403796672821,0.36725059151649475,0.6217437982559204,0.6217437982559204,0.47856104373931885
5,0.6934482455253601,1.2014578e-05,0.6934482455253601,0.381948858499527,0.5995339751243591,0.5995339751243591,0.5166717171669006
6,0.6899799108505249,3.879955e-05,0.6899799108505249,0.38624119758605957,0.6058222055435181,0.6058222055435181,0.5087078213691711
7,0.6942724585533142,3.3545653e-05,0.6942724585533142,0.3783901333808899,0.6059324741363525,0.6059324741363525,0.5079415440559387
8,0.6853764057159424,1.3065357e-05,0.6853764057159424,0.391431987285614,0.5991189479827881,0.5991189479827881,0.5161563754081726
9,0.6837582588195801,3.9850333e-05,0.6837582588195801,0.39776667952537537,0.5979630947113037,0.5979630947113037,0.5172221660614014
10,0.6874878406524658,3.249487e-05,0.6874878406524658,0.39112967252731323,0.6103076934814453,0.6103076934814453,0.4983201026916504
11,0.6771402955055237,1.4116137e-05,0.6771402955055237,0.4069828689098358,0.5932605862617493,0.5932605862617493,0.5255399346351624
12,0.6775416731834412,4.090111e-05,0.6775416731834412,0.4078473746776581,0.6134852170944214,0.6134852170944214,0.4992470145225525
13,0.6799256801605225,3.144409e-05,0.6799256801605225,0.39896366000175476,0.6107907295227051,0.6107907295227051,0.4952601492404938
14,0.6710718870162964,1.5166917e-05,0.6710718870162964,0.41454142332077026,0.5913867354393005,0.5913867354393005,0.5276996493339539
15,0.6708767414093018,4.195189e-05,0.6708767414093018,0.41884297132492065,0.5959800481796265,0.5959800481796265,0.5248860716819763
16,0.6740385293960571,3.0393312e-05,0.6740385293960571,0.41258952021598816,0.590518593788147,0.590518593788147,0.5283836722373962
17,0.6642133593559265,1.6217697e-05,0.6642133593559265,0.43104642629623413,0.5901944041252136,0.5901944041252136,0.5269478559494019
18,0.664075493812561,4.300267e-05,0.664075493812561,0.43040889501571655,0.5969874858856201,0.5969874858856201,0.5185677409172058
19,0.6652519106864929,2.9342533e-05,0.6652519106864929,0.42695003747940063,0.6006434559822083,0.6006434559822083,0.5181645154953003
20,0.6574327349662781,1.7268478e-05,0.6574327349662781,0.4411514401435852,0.5872400403022766,0.5872400403022766,0.5319663286209106
21,0.6583662629127502,4.405345e-05,0.6583662629127502,0.4402630627155304,0.5944029092788696,0.5944029092788696,0.5208277702331543
22,0.660410463809967,2.8291752e-05,0.660410463809967,0.43555113673210144,0.5889151096343994,0.5889151096343994,0.5291231870651245
23,0.6503593921661377,1.8319257e-05,0.6503593921661377,0.4530673325061798,0.5838346481323242,0.5838346481323242,0.5377060174942017
24,0.6535370349884033,4.510423e-05,0.6535370349884033,0.44801390171051025,0.5906875133514404,0.5906875133514404,0.5320985913276672
25,0.6545146703720093,2.7240972e-05,0.6545146703720093,0.4468285143375397,0.5965079665184021,0.5965079665184021,0.5176730751991272
26,0.6452329158782959,1.9370036e-05,0.6452329158782959,0.4618116319179535,0.5853554606437683,0.5853554606437683,0.5343122482299805
27,0.6466560959815979,4.615501e-05,0.6466560959815979,0.4596320390701294,0.5909668207168579,0.5909668207168579,0.5297954678535461
28,0.6476056575775146,2.6190193e-05,0.6476056575775146,0.4576990604400635,0.587083101272583,0.587083101272583,0.5327902436256409
29,0.6383408308029175,2.0420817e-05,0.6383408308029175,0.47265323996543884,0.5841643214225769,0.5841643214225769,0.5371711254119873
30,0.6416025757789612,4.720579e-05,0.6416025757789612,0.46774721145629883,0.5860433578491211,0.5860433578491211,0.5338659286499023
31,0.6405090093612671,2.5139412e-05,0.6405090093612671,0.4682997763156891,0.593878984451294,0.593878984451294,0.5187643766403198
32,0.6326050162315369,2.1471596e-05,0.6326050162315369,0.48155054450035095,0.580460786819458,0.580460786819458,0.5422804951667786
33,0.636431872844696,4.825657e-05,0.636431872844696,0.47677263617515564,0.5897536277770996,0.5897536277770996,0.5294415354728699
34,0.636267900466919,2.4088633e-05,0.636267900466919,0.47577548027038574,0.581861674785614,0.581861674785614,0.5395205020904541
35,0.625998318195343,2.2522376e-05,0.625998318195343,0.4916263818740845,0.5793970823287964,0.5793970823287964,0.5447040796279907
36,0.6288837790489197,4.930735e-05,0.6288837790489197,0.488823264837265,0.5830004811286926,0.5830004811286926,0.5420280694961548
