epoch,loss,lr,mae,r2,val_loss,val_mae,val_r2
0,0.9975517988204956,3.705486e-05,0.9975517988204956,0.5335022807121277,0.8984169960021973,0.8984169960021973,0.6047801375389099
1,0.9843215346336365,3.4933473e-05,0.9843215346336365,0.5458000898361206,0.8996859192848206,0.8996859192848206,0.6070795059204102
2,0.9838327765464783,1.2034404e-05,0.9838327765464783,0.5465058088302612,0.8690832257270813,0.8690832257270813,0.6311622858047485
3,0.9735437035560608,3.9176244e-05,0.9735437035560608,0.554914116859436,0.8744730353355408,0.8744730353355408,0.6267343759536743
4,0.9616205096244812,3.2812088e-05,0.9616205096244812,0.5650660395622253,0.8641715049743652,0.8641715049743652,0.6340051293373108
5,0.9612846970558167,1.4155789e-05,0.9612846970558167,0.5657837986946106,0.8545598387718201,0.8545598387718201,0.6388325691223145
6,0.9518004059791565,4.1297633e-05,0.9518004059791565,0.5735816359519958,0.8585910797119141,0.8585910797119141,0.6362077593803406
7,0.9420130848884583,3.0690702e-05,0.9420130848884583,0.5821667909622192,0.8550294041633606,0.8550294041633606,0.6417491436004639
8,0.9426636695861816,1.6277176e-05,0.9426636695861816,0.5813453793525696,0.8443597555160522,0.8443597555160522,0.6485697627067566
9,0.9321134090423584,4.341902e-05,0.9321134090423584,0.5906847715377808,0.8597679734230042,0.8597679734230042,0.6387113332748413
10,0.924116313457489,2.8569317e-05,0.924116313457489,0.5970232486724854,0.8428084850311279,0.8428084850311279,0.6490150094032288
11,0.9257978796958923,1.8398561e-05,0.9257978796958923,0.5955935120582581,0.834463357925415,0.834463357925415,0.6542894840240479
12,0.913179874420166,4.5540404e-05,0.913179874420166,0.605758786201477,0.8454763293266296,0.8454763293266296,0.6452745199203491
13,0.9075931310653687,2.6447931e-05,0.9075931310653687,0.6101028919219971,0.8285082578659058,0.8285082578659058,0.6621195673942566
14,0.9082386493682861,2.0519947e-05,0.9082386493682861,0.6097546219825745,0.8272441029548645,0.8272441029548645,0.6615009307861328
15,0.8970833420753479,4.766179e-05,0.8970833420753479,0.6188538074493408,0.8424763679504395,0.8424763679504395,0.6539474129676819
16,0.8937943577766418,2.4326546e-05,0.8937943577766418,0.6222500205039978,0.8180612325668335,0.8180612325668335,0.6670429110527039
17,0.8928583264350891,2.2641332e-05,0.8928583264350891,0.6224241256713867,0.812123715877533,0.812123715877533,0.6727997660636902
18,0.8813835978507996,4.9347003e-05,0.8813835978507996,0.6321890950202942,0.8194538950920105,0.8194538950920105,0.668735921382904
19,0.8794436454772949,2.220516e-05,0.8794436454772949,0.6333262920379639,0.8093935251235962,0.8093935251235962,0.6743444204330444
