epoch,loss,lr,mae,r2,val_loss,val_mae,val_r2
0,1.0221329927444458,1.1320666e-05,1.0221329927444458,0.6687129735946655,0.8992744088172913,0.8992744088172913,0.72335284948349
1,1.0150598287582397,1.2728315e-05,1.0150598287582397,0.6728174686431885,0.8943353891372681,0.8943353891372681,0.7261543273925781
2,1.0084916353225708,1.4135963e-05,1.0084916353225708,0.6781484484672546,0.8924373984336853,0.8924373984336853,0.7272619605064392
3,1.0025588274002075,1.5543612e-05,1.0025588274002075,0.6817917823791504,0.8913062810897827,0.8913062810897827,0.7286421656608582
4,0.9955790638923645,1.695126e-05,0.9955790638923645,0.6856875419616699,0.8981542587280273,0.8981542587280273,0.7264850735664368
5,0.9908549189567566,1.8358909e-05,0.9908549189567566,0.6896985173225403,0.8822358846664429,0.8822358846664429,0.7325577735900879
6,0.9845587015151978,1.9766558e-05,0.9845587015151978,0.6932193636894226,0.8865351676940918,0.8865351676940918,0.7305131554603577
7,0.978462278842926,2.1174206e-05,0.978462278842926,0.6970202326774597,0.8783876299858093,0.8783876299858093,0.73565673828125
8,0.9725576043128967,2.2581855e-05,0.9725576043128967,0.7005595564842224,0.8778290748596191,0.8778290748596191,0.7367925643920898
9,0.9671480655670166,2.3989503e-05,0.9671480655670166,0.7040450572967529,0.8695206642150879,0.8695206642150879,0.7405695915222168
10,0.9611241221427917,2.5397152e-05,0.9611241221427917,0.707705557346344,0.8715481758117676,0.8715481758117676,0.7391223311424255
11,0.9563287496566772,2.68048e-05,0.9563287496566772,0.710598349571228,0.8665374517440796,0.8665374517440796,0.7423218488693237
12,0.9511434435844421,2.8212447e-05,0.9511434435844421,0.7136136889457703,0.8629497289657593,0.8629497289657593,0.7452722787857056
13,0.9459481835365295,2.9620096e-05,0.9459481835365295,0.7169604897499084,0.8723179697990417,0.8723179697990417,0.7405952215194702
14,0.9405344724655151,3.1027746e-05,0.9405344724655151,0.7204890847206116,0.8590690493583679,0.8590690493583679,0.7460975646972656
