epoch,loss,lr,mae,r2,val_loss,val_mae,val_r2
0,1.0132615566253662,1.1122406e-05,1.0132615566253662,0.6220869421958923,0.8772699236869812,0.8772699236869812,0.7020593881607056
1,1.0012493133544922,1.2331794e-05,1.0012493133544922,0.6308500170707703,0.8677308559417725,0.8677308559417725,0.7075062394142151
2,0.990369439125061,1.3541182e-05,0.990369439125061,0.6384828686714172,0.858361005783081,0.858361005783081,0.7141050100326538
3,0.9793407320976257,1.4750571e-05,0.9793407320976257,0.646758496761322,0.8409209251403809,0.8409209251403809,0.7254387736320496
4,0.9709374904632568,1.5959959e-05,0.9709374904632568,0.6523573398590088,0.836035430431366,0.836035430431366,0.7284119129180908
5,0.9601702094078064,1.7169346e-05,0.9601702094078064,0.6600879430770874,0.8360325694084167,0.8360325694084167,0.7284911870956421
6,0.9518471956253052,1.8378734e-05,0.9518471956253052,0.6657267212867737,0.8437673449516296,0.8437673449516296,0.7233703136444092
7,0.9448818564414978,1.9588122e-05,0.9448818564414978,0.6705299615859985,0.829409122467041,0.829409122467041,0.7323381304740906
8,0.9367654919624329,2.0797512e-05,0.9367654919624329,0.676052451133728,0.8094668984413147,0.8094668984413147,0.7462051510810852
9,0.9306288361549377,2.20069e-05,0.9306288361549377,0.6807301640510559,0.8063157200813293,0.8063157200813293,0.7460485696792603
10,0.9236322641372681,2.3216287e-05,0.9236322641372681,0.6849358677864075,0.8184085488319397,0.8184085488319397,0.7383508086204529
11,0.9160677790641785,2.4425675e-05,0.9160677790641785,0.6902814507484436,0.8085953593254089,0.8085953593254089,0.7433599829673767
12,0.9102842807769775,2.5635063e-05,0.9102842807769775,0.6936267018318176,0.8072558045387268,0.8072558045387268,0.7463610172271729
13,0.9038044810295105,2.6844451e-05,0.9038044810295105,0.6977277398109436,0.788457453250885,0.788457453250885,0.7572736144065857
